DataUploaded,ProcessedBy,DatePlanted,"PlanterType
",CollectionSite,CollectionDate,Species,TagID,Condition ,Mass(g),Width(cm),Propagule Length(cm),RadicleLength(cm),PropaguleColor,RadicleColor,Float(Y/N),PartofSomething,notes,,RetiredVariables,Damage?(Y/N),DateGerminated,total length(cm)
KH,AJH,11/6/2021,SP,VBSP,6/10/2021,AVGE,13,N,3.88,2.1,2.8,0.3,G,G,Y,,,,,D,10/6/2021,3.1
KH,AJH,11/6/2021,SP,VBSP,6/10/2021,AVGE,14,B,0.38,0.7,1.1,0.1,G,G,Y,,,,,D,10/6/2021,1.2
KH,AJH,11/6/2021,SP,VBSP,6/10/2021,AVGE,15,N,1.86,1.6,2.2,0.3,G,G,Y,,,,,D,10/6/2021,2.5
KH,AJH,11/6/2021,SP,VBSP,6/10/2021,AVGE,16,N,2.07,1.6,2.5,0.5,G,G,Y,,,,,D,10/6/2021,3
KH,AJH,11/6/2021,SP,VBSP,6/10/2021,AVGE,17,H,0.57,1,1.4,0.2,G,G,Y,,,,,UD,10/6/2021,1.6
KH,AJH,11/6/2021,SP,VBSP,6/10/2021,AVGE,18,H,2.28,1.8,2.7,0.3,G,G,N,,,,,UD,10/6/2021,3
KH,AJH,11/6/2021,SP,VBSP,6/10/2021,AVGE,19,N,1.17,1.4,2,0.1,G,G,N,,,,,D,10/6/2021,2.1
KH,AJH,11/6/2021,SP,VBSP,6/10/2021,AVGE,20,N,1,1.2,1.8,0.2,G,G,N,,,,,D,10/6/2021,2
KH,AJH,11/6/2021,SP,VBSP,6/10/2021,AVGE,21,N,0.81,1.1,2.3,0.5,G,G,N,,,,,D,10/6/2021,2.8
KH,AJH,11/6/2021,SP,VBSP,6/10/2021,AVGE,22,B,2.19,2,2.7,0.2,G,G,N,,severe brusing,,,D,10/6/2021,2.9
KH,AJH,11/6/2021,SP,VBSP,6/10/2021,AVGE,23,H,3.17,2,0.7,2,B,G,N,,mostly brown,,,D,10/6/2021,2.7
KH,AJH,6/14/2021,SP,VBSP,6/10/2021,AVGE,24,N,1,1.3,2,0.1,G,G,N,,Nicks,,,D,6/14/2021,2.1
KH,AJH,6/14/2021,SP,VBSP,6/10/2021,AVGE,25,P,1.44,1.5,1.7,1.5,G,G,N,,one hole on cotyledon,,,D,6/14/2021,3.2
KH,AJH,6/14/2021,SP,VBSP,6/10/2021,AVGE,26,N,0.59,1.1,1.4,0.1,G,G,N,,a nick,,,D,6/14/2021,1.5
KH,AJH,6/14/2021,SP,VBSP,6/10/2021,AVGE,27,N,1.42,1.6,2,1.1,G,G,N,,nicks,,,D,6/14/2021,3.1
KH,AJH,6/14/2021,SP,VBSP,6/10/2021,AVGE,28,P,1.61,1.7,2,0.3,G,G,N,,a hole,,,D,6/14/2021,2.3
KH,AJH,6/14/2021,SP,VBSP,6/10/2021,AVGE,29,B,1.97,1.5,2.7,<0.1,G,G,N,,brusing,,,D,6/14/2021,2.7
KH,"AJH,AND,KWG",6/17/2021,SP,VBSP,6/10/2021,AVGE,30,H,0.18,0.7,1.1,<0.1,G,NA,Y,,,,,UD,6/17/2021,1.1
KH,"AJH,AND,KWG",6/17/2021,SP,VBSP,6/10/2021,AVGE,31,H,1.32,1.5,1.9,0.2,G,G,Y,,"alive, a hole",,,D,6/17/2021,2.1
KH,"AJH,AND,KWG",6/17/2021,SP,VBSP,6/10/2021,AVGE,32,"B,P",0.3,0.8,1.9,<0.1,G,NA,Y,,"dead,discoloration, holes",,,D,6/17/2021,1.5
KH,"AJH,AND,KWG",6/17/2021,SP,VBSP,6/10/2021,AVGE,33,"B,P",0.81,1.4,2,<0.1,G,NA,Y,,"alive,discoloration, holes",,,D,6/17/2021,2
KH,"AJH,AND,KWG",6/17/2021,SP,VBSP,6/10/2021,AVGE,34,P,0.39,0.8,1.5,0.1,G,G,Y,,"alive,a hole",,,D,6/17/2021,1.6
KH,"AJH,AND,KWG",6/17/2021,SP,VBSP,6/10/2021,AVGE,35,"B,P",0.55,1,1.6,0.2,G,G,Y,,"alive,discoloration, holes",,,D,6/17/2021,1.8
KH,"AJH,AND,KWG",6/17/2021,SP,VBSP,6/10/2021,AVGE,36,P,0.5,1,1.4,0.2,G,G,Y,,"dead, holes",,,D,6/17/2021,1.6
KH,"AJH,AND,KWG",6/17/2021,SP,VBSP,6/10/2021,AVGE,37,H,0.93,1.3,1.8,0.1,G,G,N,,dead,,,UD,6/17/2021,1.9
KH,"AJH,AND,KWG",6/17/2021,SP,VBSP,6/10/2021,AVGE,38,"B,P",0.49,1,1.5,<0.1,G,NA,N,,"dead, discoloration, holes",,,D,6/17/2021,1.5
KH,"AJH,AND,KWG",6/17/2021,SP,VBSP,6/10/2021,AVGE,39,B,0.19,0.6,1.2,<0.1,G,NA,N,,"dead,some gross spots, browning",,,D,6/17/2021,1.2
KH,"AJH,AND,KWG",6/17/2021,SP,VBSP,6/10/2021,AVGE,40,B,0.13,0.5,1,<0.1,G,NA,N,,"dead, brown spot",,,D,6/17/2021,1
KH,"AJH,AND,KWG",6/17/2021,SP,VBSP,6/10/2021,AVGE,41,B,0.13,0.5,1.1,<0.1,G,NA,N,,"dead, turning brown, bruising",,,D,6/17/2021,1.1
KH,"AJH,AND,KWG",6/17/2021,SP,VBSP,6/10/2021,AVGE,42,B,0.13,0.7,1.2,<0.1,G,NA,N,,"dead, discoloration",,,D,6/17/2021,1.2
KH,"AJH,AND,KWG",6/17/2021,SP,VBSP,6/10/2021,AVGE,43,B,0.05,0.4,0.6,<0.1,B,NA,N,,"dead, turning brown",,,D,6/17/2021,0.6
KH,"AJH,AND,KWG",6/18/2021,SP,VBSP,6/10/2021,AVGE,44,P,0.7,1.4,2.2,0.3,G,B,Y,,"dead, herbivory holes, eggs inside",,,D,6/18/2021,2.5
KH,"AJH,AND,KWG",6/18/2021,SP,VBSP,6/10/2021,AVGE,45,P,1.27,1.8,2.3,0.3,G,G,Y,,"alive, herbivory holes, eggs inside",,,D,6/18/2021,2.6
KH,"AJH,AND,KWG",6/18/2021,SP,VBSP,6/10/2021,AVGE,46,H,2.92,2.2,3,0.6,G,G,Y,,,,,UD,6/18/2021,3.6
KH,"KWG, AND",6/29/2021,SP,VBSP,6/1/2021,AVGE,47,"G, N",1.38,1.5,2,0.5,B,Wt,N,,,,,D,6/29/2021,2.5
KH,"KWG, AND",6/29/2021,SP,VBSP,6/1/2021,AVGE,48,H,0.43,1,0.9,0.7,G,B,N,,,,,D,6/22/2021,1.6
KH,"KWG, AND",6/29/2021,SP,VBSP,6/1/2021,AVGE,49,N,0.38,0.9,0.9,0.6,G,Wt,N,,,,,D,6/22/2022,1.5
KH,"KWG, AND",6/29/2021,SP,VBSP,6/1/2021,AVGE,50,H,0.55,1.1,0.5,1.1,G,Wt,N,,,,,D,6/22/2023,1.6
KH,"KWG, AND",6/29/2021,SP,VBSP,6/1/2021,AVGE,51,"B, N",0.34,1.1,0.8,0.6,YG,B,N,,,,,D,6/22/2024,1.4
KH,"KWG, AND",6/29/2021,SP,VBSP,6/1/2021,AVGE,52,H,0.43,1.1,0.9,0.7,YG,B,N,,,,,D,6/22/2025,1.6
KH,"KWG, AND",6/29/2021,SP,VBSP,6/1/2021,AVGE,53,H,0.43,0.8,0.7,0.7,G,B,N,,,,,D,6/22/2026,1.4
KH,"KWG, AND",6/29/2021,SP,VBSP,6/1/2021,AVGE,54,H,0.5,1.1,0.5,0.8,G,B,N,,,,,D,6/22/2027,1.3
KH,"KWG, AND",6/29/2021,SP,VBSP,6/1/2021,AVGE,55,H,0.6,1.2,0.9,0.7,G,Wt,N,,,,,D,6/22/2028,1.6
KH,"KWG, AND",6/29/2021,SP,VBSP,6/1/2021,AVGE,56,B,0.26,0.7,0.9,0.4,YG,Wt,N,,,,,D,6/22/2029,1.3
KH,"KWG, AND",6/29/2021,SP,VBSP,6/1/2021,AVGE,57,B,0.31,0.9,0.9,0.5,YG,Wt,N,,,,,D,6/22/2030,1.4
KH,"KWG, AND",6/29/2021,SP,VBSP,6/1/2021,AVGE,58,H,0.97,1.6,0.9,3.5,G,B,N,,,,,D,6/21/2021,4.4
KH,"KWG, AND",6/29/2021,SP,VBSP,6/1/2021,AVGE,59,H,0.48,0.9,0.8,0.8,G,B,N,,,,,D,6/21/2022,1.6
KH,"KWG, AND",6/29/2021,SP,VBSP,6/1/2021,AVGE,60,N,0.34,0.8,1,2.5,G,Wt,Y,,,,,D,6/21/2023,3.5
KH,"AND, AJH",6/7/2021,SP,VBSP,6/7/2021,AVGE,61,B,1.69,1.7,2.5,0.2,G,G,Y,,,,,D,6/7/2021,2.7
KH,AJH,12/7/2021,SP,NA,NA,AVGE,62,"G,B,N",0.47,1,1.7,0.1,G,B,N,,,,,D,12/7/2021,1.8
KH,AJH,7/21/2021,SP,VBSP,NA,AVGE,63,P,0.94,1.2,2,<0.1,G,NA,N,,Hole,,,D,7/21/2021,2
KH,AJH,7/21/2021,SP,VBSP,NA,AVGE,64,G,1,1.2,2.1,<0.1,G,NA,N,,"mold, gross",,,D,7/21/2021,2.1
KH,AJH,7/21/2021,SP,VBSP,NA,AVGE,65,"B ,P",0.72,1.2,2,<0.1,G,NA,N,,"B, hole",,,D,7/21/2021,2
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,66,H,0.65,1.1,1.1,2.2,G,G,Y,,,,,N,10/19/2021,3.3
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,67,H,0.97,1.3,2.9,1.8,G,G,Y,,,,,N,10/19/2021,4.7
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,68,H,2.13,1.8,2.1,1.9,G,B,Y,,,,,N,10/19/2021,4
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,69,H,0.95,1.5,2.6,2.3,G,B,Y,,,,,Y,10/19/2021,4.9
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,70,H,1.23,1.2,2,3.2,G,G,Y,,,,,Y,10/19/2021,5.2
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,71,"B,P",1.17,NA,1.2,3.8,G,B,Y,,,,,Y,10/19/2021,5
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,72,H,1.21,1.5,1.7,1.4,G,B,Y,,,,,N,10/19/2021,3.1
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,73,"B,P",1.24,NA,1.6,0.5,G,G,Y,,,,,Y,10/19/2021,2.1
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,74,H,1.2,1.5,3.5,2,G,B,Y,,,,,Y,10/19/2021,5.5
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,75,"B,P",0.6,1,1.7,1.7,G,B,Y,,,,,Y,10/19/2021,3.4
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,76,H,1.41,1.6,2.3,1.2,G,B,Y,,,,,N,10/19/2021,3.5
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,77,H,1.7,1.5,1.3,3.2,G,B,Y,,,,,N,10/19/2021,4.5
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,78,H,0.85,1.3,1.4,1.7,G,B,Y,,,,,Y,10/19/2021,3.1
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,79,"B,P",0.72,1,1.4,2.1,G,B,Y,,,,,Y,10/19/2021,3.5
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,80,H,1,1.3,1.5,2.5,G,B,Y,,,,,Y,10/19/2021,4
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,81,H,1.27,1.4,1.9,2.3,G,B,Y,,,,,Y,10/19/2021,4.2
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,82,H,0.75,1.1,1.3,2.4,G,B,Y,,,,,Y,10/19/2021,3.7
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,83,H,0.83,1.5,1.7,0.8,G,B,Y,,,,,Y,10/19/2021,2.5
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,84,H,0.91,1.5,2,2.5,G,B,Y,,,,,Y,10/19/2021,4.5
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,85,H,0.88,1.2,1.2,3.1,G,B,Y,,,,,Y,10/19/2021,4.3
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,86,H,1.2,1.2,1.3,2.5,G,B,Y,,,,,Y,10/19/2021,3.8
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,87,H,1.54,1.5,1.7,2.5,G,B,Y,,,,,Y,10/19/2021,4.2
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,88,H,0.88,1.2,1.3,2.2,G,B,Y,,,,,Y,10/19/2021,3.5
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,89,H,1.96,1.5,1.6,4.5,G,B,Y,,,,,Y,10/19/2021,6.1
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,90,H,0.87,1.3,1.5,1.8,G,B,Y,,,,,N,10/19/2021,3.3
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,91,H,1.3,1.6,1.2,3,G,B,Y,,,,,N,10/19/2021,4.2
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,92,H,0.74,1.2,1.4,0.6,G,B,Y,,,,,N,10/19/2021,2
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,93,H,0.82,1.1,1.6,1.9,G,B,Y,,,,,Y,10/19/2021,3.5
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,94,H,0.88,1.2,1.7,1.5,G,B,Y,,,,,,10/19/2021,3.2
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,95,H,1.52,1.6,2.1,0.5,G,B,Y,,,,,,10/19/2021,2.6
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,96,"B,P",0.66,NA,1.4,2.5,G,B,Y,,,,,,10/19/2021,3.9
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,97,H,0.54,1.2,1,2,G,B,Y,,,,,,10/19/2021,3
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,98,H,1.49,1.8,1,3,G,B,Y,,,,,,10/19/2021,4
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,99,H,1.34,1.5,2,1.5,G,B,Y,,,,,,10/19/2021,3.5
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,100,H,1.07,1.3,1.3,2.7,G,B,Y,,,,,,10/19/2021,4
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,101,"B,P",0.42,1,1.3,2,G,B,Y,,,,,,10/19/2021,3.3
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,102,H,1.35,1.7,3.7,2.4,G,B,Y,,,,,,10/19/2021,6.1
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,103,H,1.45,1.7,1.7,3.3,G,B,Y,,,,,,10/19/2021,5
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,104,H,1.19,1.7,1.5,0.5,G,B,Y,,,,,,10/19/2021,2
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,105,H,1.17,1.3,1.8,0.3,G,B,Y,,,,,,10/19/2021,2.1
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,106,H,2.47,2.1,2.3,3,G,B,Y,,,,,,10/19/2021,5.3
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,107,H,1.54,1.8,1.7,2.4,G,B,Y,,,,,,10/19/2021,4.1
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,108,"B,P",0.62,1,1.7,1.5,G,B,Y,,,,,,10/19/2021,3.2
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,109,H,1.35,1.6,1.8,3.5,G,B,Y,,,,,,10/19/2021,5.3
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,110,H,1.72,1.8,1.8,3.5,G,G,Y,,,,,,10/19/2021,5.3
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,111,H,0.87,1.4,1.7,2.3,G,B,Y,,,,,,10/19/2021,4
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,112,H,1.64,1.9,1.7,3.3,G,B,Y,,,,,,10/19/2021,5
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,113,H,1.46,1.9,1.5,2.8,G,B,Y,,,,,,10/19/2021,4.3
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,114,H,0.93,1.3,1.4,1.9,G,B,Y,,,,,,10/19/2021,3.3
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,115,H,0.93,1.3,1.7,1.5,G,B,Y,,,,,,10/19/2021,3.2
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,116,H,1.22,1.5,1.5,3.5,G,B,Y,,,,,,10/19/2021,5
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,117,H,1.26,1.5,1.8,0.9,G,B,Y,,,,,,10/19/2021,2.7
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,118,H,1.5,1.7,1.4,3.6,G,B,Y,,,,,,10/19/2021,5
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,119,H,1.54,1.5,1.8,2,G,B,Y,,,,,,10/19/2021,3.8
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,120,H,1.67,1.5,2.2,3.3,G,B,Y,,,,,,10/19/2021,5.5
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,121,H,2.05,1.9,2,2.8,G,B,Y,,,,,,10/19/2021,4.8
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,122,H,1.14,1.5,1.5,2.8,G,B,Y,,,,,,10/19/2021,4.3
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,123,H,1.56,1.7,3.1,2,G,B,Y,,,,,,10/19/2021,5.1
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,124,H,0.56,1.2,1.5,1.5,G,B,Y,,,,,,10/19/2021,3
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,125,H,0.89,1.5,2.4,2.3,G,B,Y,,,,,,10/19/2021,4.7
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,126,"B,P",0.66,NA,1.1,1.9,G,B,Y,,,,,,10/19/2021,3
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,127,H,0.97,1.5,1.6,1.9,G,B,Y,,,,,,10/19/2021,3.5
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,128,H,0.65,1.2,1.7,1.3,G,B,Y,,,,,,10/19/2021,3
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,129,H,1.33,1.4,1.6,1.5,G,B,Y,,,,,,10/19/2021,3.1
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,130,H,1.39,1.5,1.8,2.5,G,B,Y,,,,,,10/19/2021,4.3
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,131,"B,P",1.27,NA,1.9,2.4,G,B,Y,,,,,,10/19/2021,4.3
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,132,H,0.56,1.1,1.6,2,G,B,Y,,,,,,10/19/2021,3.6
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,133,H,0.77,1.1,1.4,1.5,G,B,Y,,,,,,10/19/2021,2.9
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,134,H,0.88,1.3,3.2,2,G,B,Y,,,,,,10/19/2021,5.2
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,135,H,1.69,1.6,2.8,1.5,G,B,Y,,,,,,10/19/2021,4.3
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,136,H,1.85,1.7,2,3,G,B,Y,,,,,,10/19/2021,5
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,137,H,1.28,1.6,1.9,0.3,G,B,Y,,,,,,10/19/2021,2.2
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,138,H,0.65,1.2,1.8,1,G,B,Y,,,,,,10/19/2021,2.8
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,139,H,1.28,1.5,2.8,2.7,G,B,Y,,,,,,10/19/2021,5.5
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,140,H,0.92,1.3,3.3,2.2,G,B,Y,,,,,,10/19/2021,5.5
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,141,H,0.93,1.4,1.9,0.6,G,B,Y,,,,,,10/19/2021,2.5
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,142,H,0.94,1.3,1.8,2,G,B,Y,,,,,,10/19/2021,3.8
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,143,H,0.59,1.2,1.3,1.8,G,B,Y,,,,,,10/19/2021,3.1
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,144,"B,P",0.51,1,1.3,1.7,G,B,Y,,,,,,10/19/2021,3
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,145,H,1,1.4,1.8,2,G,B,Y,,,,,,10/19/2021,3.8
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,146,H,1.21,1.6,1.5,2.5,G,B,Y,,,,,,10/19/2021,4
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,147,H,1.54,1.9,2,2.5,G,B,Y,,,,,,10/19/2021,4.5
KH,AJH,10/19/2021,SP,CP,10/14/2021,AVGE,148,"B,P",0.6,1,1.3,1.4,G,B,Y,,,,,,10/19/2021,2.7
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,149,N,0.81,1.3,0.5,1.6,G,B,Y,,,,,D,10/19-11/05/21,2.1
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,150,N,1.15,1.4,1.4,1,G,B,Y,,,,,D,10/19-11/05/21,2.4
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,151,H,0.64,1.3,0.5,1.7,G,B,Y,,,,,UD,10/19-11/05/21,2.2
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,152,H,0.72,1.4,1.6,1.3,G,B,Y,,,,,D,10/19-11/05/21,2.9
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,153,N,0.55,1.6,1.3,1.3,G,B,Y,,,,,D,10/19-11/05/21,2.6
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,154,H,0.67,1.5,1.4,1.7,G,B,Y,,,,,D,10/19-11/05/21,3.1
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,155,H,0.87,1.4,1.9,0.3,G,B,N,,,,,D,10/19-11/05/21,2.2
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,156,H,0.27,0.8,1.3,0.5,G,B,N,,,,,UD,10/19-11/05/21,1.8
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,157,H,0.72,1.2,1.7,0.2,G,B,N,,,,,UD,10/19-11/05/21,1.9
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,158,H,1.82,2.7,2.2,1.2,G,B,N,,,,,D,10/19-11/05/21,3.4
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,159,"B,P,N",0.43,1,1.2,1.1,G,B,N,,,,,D,10/19-11/05/21,2.3
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,160,N,0.52,1.2,1.7,0.8,G,B,N,,,,,D,10/19-11/05/21,2.5
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,161,H,0.58,1.2,1.8,0.2,G,B,N,,,,,UD,10/19-11/05/21,2
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,162,H,1.2,1.5,1.6,0.9,G,B,N,,,,,D,10/19-11/05/21,2.5
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,163,"B,P",0.36,1,1.1,0.7,G,B,N,,,,,UD,10/19-11/05/21,1.8
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,164,H,0.48,1.1,1.2,0.9,G,B,N,,,,,UD,10/19-11/05/21,2.1
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,165,"B,P,N",0.4,1,1.1,1,G,B,N,,,,,D,10/19-11/05/21,2.1
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,166,N,0.81,1.3,1.6,1,G,B,N,,,,,D,10/19-11/05/21,2.6
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,167,N,0.74,1.3,1.5,0.5,G,B,N,,,,,D,10/19-11/05/21,2
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,168,H,0.74,1.3,1.8,1,G,B,N,,,,,D,10/19-11/05/21,2.8
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,169,H,0.85,1.3,1.6,1,G,B,N,,,,,UD,10/19-11/05/21,2.6
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,170,"B,P",0.36,1,0.9,1,G,B,N,,,,,UD,10/19-11/05/21,1.9
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,171,H,0.91,1.4,1.6,1.5,G,B,N,,,,,UD,10/19-11/05/21,3.1
